GFS_Pres,GFS_T,GFS_H,ECM_Pres,ECM_T_00,ECM_T_06,ECM_H,,
,,,976.513,292.2,291.7,405.1026599,,
,,,982.228,292.7,292.2,351.7511077,,
,,,987.491,293.2,292.7,302.7639408,,
,,,992.333,293.6,293.1,257.8250473,,
,,,996.786,294,293.5,216.6183151,,
,,,1000.875,294.4,293.9,178.8684209,,
,,,1004.627,294.7,294.2,144.2898441,,
,,,1008.068,295,294.5,112.6378529,,
,,,1011.219,295.3,294.8,83.6881096,,
,,,1014.105,295.5,295,57.20607955,,
,,,1016.745,295.8,295.3,33.00821381,,
,,,1019.16,296,295.5,10.89056915,,
